Tx#,Date,Name,Purpose,"From You","To You",Balance,Agent
121471,2018-09-04,Bank,"deposited into wrong account (bank's mistake)",0,18900,489264.59,AAAAJV
121462,2018-08-30,Bank,"Online Transfer",0,18000,470364.59,AAAAJV
121470,2018-08-23,Bank,"bank error",0,10,452364.59,AAAAJV
121458,2018-08-16,Bank,"Online Transfer",0,23000,452354.59,AAAAJV
121452,2018-07-13,Bank,"Online Transfer",0,43000,429354.59,AAAAJV
121449,2018-06-26,Bank,"Credit Memo",0,50,386354.59,AAAAJV
121448,2018-06-25,Bank,"Online Transfer",0,4.5,386304.59,AAAAJV
121447,2018-06-25,Bank,"Online Transfer",0,668.74,386300.09,AAAAJV
121445,2018-05-31,Bank,"Online Transfer",0,28500,385631.35,AAAAJV
121444,2018-05-31,Bank,"Debit Memo for $-50 (but bank made a $-50 offsetting error, so this is zero)",0,0,357131.35,AAAAJV
121469,2018-05-01,Bank,"bank error",0,409.34,357131.35,AAAAJV
121441,2018-04-18,Bank,"Online Transfer",0,18000,356722.01,AAAAJV
121437,2018-03-26,Bank,"Online Transfer",0,137.98,338722.01,AAAAJV
121436,2018-03-26,Bank,"Online Transfer",0,19000,338584.03,AAAAJV
121434,2018-03-26,Bank,"Online Transfer",0,20,319584.03,AAAAJV
121432,2018-02-26,Bank,"Online Transfer",0,9000,319564.03,AAAAJV
121428,2018-02-20,Bank,"Online Transfer",0,35000,310564.03,AAAAJV
121426,2018-02-05,Bank,"Online Transfer",0,40,275564.03,AAAAJV
121423,2018-01-22,Bank,"Online Transfer",0,69.83,275524.03,AAAAJV
121421,2017-12-27,Bank,"Online Transfer",0,28000,275454.2,AAAAJV
121419,2017-12-20,Bank,"Online Transfer",0,71.88,247454.2,AAAAJV
121417,2017-12-14,Bank,"Online Transfer",0,909.34,247382.32,AAAAJV
121414,2017-12-04,Bank,"Online Transfer",0,21000,246472.98,AAAAJV
121413,2017-12-04,Bank,"Online Transfer",0,10000,225472.98,AAAAJV
121467,2017-11-22,Bank,"bank error",0,27.73,215472.98,AAAAJV
121411,2017-11-15,Bank,"Online Transfer",0,10000,215445.25,AAAAJV
121405,2017-10-05,Bank,"Online Transfer",0,9000,205445.25,AAAAJV
121401,2017-09-19,Bank,"Online Transfer",0,16000,196445.25,AAAAJV
121398,2017-09-06,Bank,"Online Transfer",0,12000,180445.25,AAAAJV
121394,2017-08-07,Bank,"Online Transfer",0,16500,168445.25,AAAAJV
121390,2017-07-17,Bank,"Online Transfer",0,31000,151945.25,AAAAJV
121383,2017-05-11,Bank,"Online Transfer",0,22500,120945.25,AAAAJV
121466,2017-04-10,Bank,"bank error",0,300,98445.25,AAAAJV
121379,2017-03-21,Bank,"Online Transfer",0,9600,98145.25,AAAAJV
121374,2017-03-02,Bank,"Funds Transfer",0,15000,88545.25,AAAAJV
121371,2017-01-31,Bank,"Transfer covering recent bank fees on Escrow account (actually 2/6/2017)",0,219.78,73545.25,AAAAJV
121368,2017-01-01,Bank,"split accounting (there were always two accounts",0,73007.95,73325.47,AAAAJV
121367,2016-12-30,Bank,,0,0.56,317.52,AAAAJV
121365,2016-11-03,Bank,,0,0.83,316.96,AAAAJV
121364,2016-10-31,Bank,,0,1.14,316.13,AAAAJV
121363,2016-09-30,Bank,,0,1.17,314.99,AAAAJV
121362,2016-09-13,Bank,"fee rebate",0,20,313.82,AAAAJV
121361,2016-08-31,Bank,,0,1.24,293.82,AAAAJV
121360,2016-07-29,Bank,,0,1,292.58,AAAAJV
121357,2016-07-01,Bank,"fee rebate (in FY2016, date unknown)",0,20,291.58,AAAAJV
121355,2016-06-30,Bank,,0,0.97,271.58,AAAAJV
121354,2016-05-31,Bank,,0,0.86,270.61,AAAAJV
121353,2016-05-12,Bank,"fee rebate",0,20,269.75,AAAAJV
121352,2016-04-29,Bank,,0,0.62,249.75,AAAAJV
121349,2016-03-31,Bank,,0,0.32,249.13,AAAAJV
121347,2016-02-29,Bank,,0,0.3,248.81,AAAAJV
121346,2016-01-31,Bank,,0,0.34,248.51,AAAAJV
121345,2015-12-31,Bank,,0,0.49,248.17,AAAAJV
121344,2015-11-30,Bank,,0,0.54,247.68,AAAAJV
121343,2015-10-31,Bank,,0,2.44,247.14,AAAAJV
121342,2015-09-30,Bank,,0,2.36,244.7,AAAAJV
121339,2015-08-31,Bank,,0,2.55,242.34,AAAAJV
121337,2015-07-31,Bank,,0,4.07,239.79,AAAAJV
121336,2015-06-30,Bank,,0,4,235.72,AAAAJV
121335,2015-05-29,Bank,,0,5.61,231.72,AAAAJV
121334,2015-04-30,Bank,,0,6.06,226.11,AAAAJV
121333,2015-03-31,Bank,,0,40.74,220.05,AAAAJV
121332,2015-02-27,Bank,,0,36.84,179.31,AAAAJV
121331,2015-01-31,Bank,Deposit,0,37.48,142.47,AAAAJV
121330,2014-12-31,Bank,"interest 2014",0,29.99,104.99,AAAAJV
121329,2014-10-14,Bank,"Transfer initial deposits",0,75,75,AAAAJV
,,TOTALS,,0,489264.59,,
